product_id,price,goods_group,manufacturer
518018,899.0,Дитячі машинки,MZ
518020,899.0,Дитячі машинки,MZ
503982,1979.0,Дитячі машинки,MZ
518303,324.0,Дитячі машинки,MZ
521360,899.0,Дитячі машинки,MZ
521372,1889.0,Дитячі машинки,MZ
528065,519.0,Дитячі машинки,MZ
483259,119.0,М’які та інтерактивні іграшки,TY
483265,179.0,М’які та інтерактивні іграшки,TY
483269,179.0,М’які та інтерактивні іграшки,TY
483271,179.0,М’які та інтерактивні іграшки,TY
484323,249.0,М’які та інтерактивні іграшки,TY
484325,129.0,М’які та інтерактивні іграшки,TY
490436,119.0,М’які та інтерактивні іграшки,TY
490445,119.0,М’які та інтерактивні іграшки,TY
490448,139.0,М’які та інтерактивні іграшки,TY
500887,119.0,М’які та інтерактивні іграшки,TY
506850,139.0,М’які та інтерактивні іграшки,TY
506847,179.0,М’які та інтерактивні іграшки,TY
506851,179.0,М’які та інтерактивні іграшки,TY
506848,179.0,М’які та інтерактивні іграшки,TY
516080,179.0,М’які та інтерактивні іграшки,TY
517375,179.0,М’які та інтерактивні іграшки,TY
517376,179.0,М’які та інтерактивні іграшки,TY
518922,92.0,М’які та інтерактивні іграшки,TY
521456,119.0,М’які та інтерактивні іграшки,TY
521462,269.0,М’які та інтерактивні іграшки,TY
521463,209.0,М’які та інтерактивні іграшки,TY
521464,269.0,М’які та інтерактивні іграшки,TY
521466,269.0,М’які та інтерактивні іграшки,TY
521467,269.0,М’які та інтерактивні іграшки,TY
523473,139.0,М’які та інтерактивні іграшки,TY
527049,119.0,М’які та інтерактивні іграшки,TY
527057,119.0,М’які та інтерактивні іграшки,TY
528341,449.0,М’які та інтерактивні іграшки,TY
529679,119.0,М’які та інтерактивні іграшки,TY
534052,119.0,М’які та інтерактивні іграшки,TY
536196,179.0,М’які та інтерактивні іграшки,TY
537291,388.0,Творчість та канцтовари,TY
537300,199.0,Творчість та канцтовари,TY
538532,199.0,М’які та інтерактивні іграшки,TY
541192,289.0,М’які та інтерактивні іграшки,TY
504551,36.0,Іграшки для малюків,ABC
534546,229.0,Творчість та канцтовари,BIC
517014,179.0,Іграшки для малюків,BIG
138279,3022.0,Дитячі машинки,CAT
265100,1035.0,Дитячі машинки,CAT
296023,353.0,Дитячі машинки,CAT
446155,1102.0,Дитячі машинки,CAT
446152,349.0,Дитячі машинки,CAT
446036,507.0,Дитячі машинки,CAT
446157,507.0,Дитячі машинки,CAT
481783,790.0,Дитячі машинки,CAT
526701,795.0,Конструктори,CAT
410773,558.0,Ігрові фігурки,HGL
410782,558.0,Ігрові фігурки,HGL
437553,149.0,Ігрові фігурки,HGL
437565,99.0,Ігрові фігурки,HGL
491311,159.0,Сюжетно-рольові іграшки,TBL
517389,99.0,Сюжетно-рольові іграшки,TBL
517394,179.0,Сюжетно-рольові іграшки,TBL
517395,179.0,Сюжетно-рольові іграшки,TBL
538538,199.0,Сюжетно-рольові іграшки,TBL
538501,369.0,Творчість та канцтовари,Addo
538502,269.0,Творчість та канцтовари,Addo
541666,399.0,Творчість та канцтовари,Addo
541668,539.0,Ігрові фігурки,Addo
542429,409.0,М’які та інтерактивні іграшки,Addo
542431,409.0,М’які та інтерактивні іграшки,Addo
118557,379.0,Ігрові фігурки,Bino
350926,339.0,Іграшки для малюків,Bino
488085,249.0,Сюжетно-рольові іграшки,Bino
536469,749.0,Для активного відпочинку,Bugs
296597,199.0,Дитячі машинки,CARS
385613,199.0,Ігрові фігурки,CARS
516423,219.0,Дитячі машинки,CARS
516425,299.0,Дитячі машинки,CARS
516431,199.0,Дитячі машинки,CARS
516432,399.0,Дитячі машинки,CARS
517283,99.0,Дитячі машинки,CARS
519405,219.0,Дитячі машинки,CARS
520928,799.0,Дитячі машинки,CARS
521949,999.0,Дитячі машинки,CARS
523231,549.0,Ігрові фігурки,CARS
523250,1199.0,Дитячі машинки,CARS
523249,1499.0,Дитячі машинки,CARS
528245,1699.0,Дитячі машинки,CARS
532274,629.0,Ігрові фігурки,CARS
532275,799.0,Ігрові фігурки,CARS
532286,1099.0,Ігрові фігурки,CARS
533392,199.0,Дитячі машинки,CARS
537345,279.0,Дитячі машинки,CARS
504162,1299.0,Конструктори,COBI
504170,1199.0,Конструктори,COBI
504171,1149.0,Конструктори,COBI
504172,1349.0,Конструктори,COBI
416733,30.0,Іграшки для розвитку,Hama
416734,30.0,Іграшки для розвитку,Hama
364696,693.0,Іграшки для малюків,Hape
367238,351.0,Іграшки для малюків,Hape
367245,756.0,Іграшки для малюків,Hape
364705,809.0,Іграшки для малюків,Hape
459879,562.0,Ігрові фігурки,Hape
498176,512.0,Іграшки для малюків,Hape
498177,512.0,Іграшки для малюків,Hape
528593,279.0,Іграшки для малюків,Hape
534182,392.0,Іграшки для малюків,Hape
480474,499.0,Для активного відпочинку,John
480476,499.0,Для активного відпочинку,John
516437,219.0,Творчість та канцтовари,Kite
516480,1239.0,Творчість та канцтовари,Kite
534291,399.0,Творчість та канцтовари,Kite
342237,9521.0,Конструктори,LEGO
361108,899.0,Конструктори,LEGO
65148,479.0,Конструктори,LEGO
462930,1349.0,Конструктори,LEGO
487324,599.0,Конструктори,LEGO
487325,1999.0,Конструктори,LEGO
487316,2899.0,Конструктори,LEGO
505929,398.0,Конструктори,LEGO
505933,358.0,Конструктори,LEGO
506059,399.0,Конструктори,LEGO
506060,599.0,Конструктори,LEGO
506071,949.0,Конструктори,LEGO
506072,1299.0,Конструктори,LEGO
506073,1488.0,Конструктори,LEGO
506074,238.0,Конструктори,LEGO
506087,1149.0,Конструктори,LEGO
516538,238.0,Конструктори,LEGO
516540,238.0,Конструктори,LEGO
516544,448.0,Конструктори,LEGO
516546,1099.0,Конструктори,LEGO
516637,999.0,Конструктори,LEGO
516640,2799.0,Конструктори,LEGO
516585,1238.0,Конструктори,LEGO
516646,868.0,Конструктори,LEGO
516600,1498.0,Конструктори,LEGO
516642,2038.0,Конструктори,LEGO
516643,3313.0,Конструктори,LEGO
516603,4763.0,Конструктори,LEGO
516644,6748.0,Конструктори,LEGO
